N,seed,Q,k,gamma,warmup,tau,confirmation_steps,n_drifts,n_detected,tpr,total_alarms,matched_alarms,unmatched_alarms,unmatched_ratio,delay_min,delay_max,delay_mean,delay_median,max_ise,mean_background_ise,threshold_exceedances,delaytype_mean,delaytype_variance,delaytype_gradual,delaytype_cyclic,delaytype_distribution
20000,99,0.0,6.0,0.7,300,0.08,7,11,6,0.5454545454545454,7,6,1,0.14285714285714285,71,11774,3917.5,3098.5,0.09472587141045449,0.023414972304562666,51,2094.0,2731.5,2080.0,11774.0,
20000,42,0.0,6.0,1.0,300,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,527,527,527.0,527.0,0.08104986496439226,0.02901975169348758,7,527.0,,,,
20000,7,0.0,6.0,1.0,300,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,532,532,532.0,532.0,0.08088277494012565,0.030617534128940846,7,532.0,,,,
20000,123,0.0,6.0,1.0,300,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,559,559,559.0,559.0,0.08060133305535566,0.026505419557444728,7,559.0,,,,
20000,2024,0.0,6.0,1.0,300,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,592,592,592.0,592.0,0.0809032108910372,0.025696137812368982,7,592.0,,,,
20000,99,0.0,6.0,1.0,300,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,588,588,588.0,588.0,0.08049134297575676,0.025548782549621216,7,588.0,,,,
20000,42,0.0,3.0,0.7,400,0.08,7,11,5,0.45454545454545453,5,5,0,0.0,97,12917,4162.8,2126.0,0.08983121677944231,0.03370834958195842,38,6507.0,2837.0,2126.0,,
20000,7,0.0,3.0,0.7,400,0.08,7,11,5,0.45454545454545453,5,5,0,0.0,75,12684,4109.6,2132.0,0.08854907814536234,0.034511362296393705,35,6379.5,2828.5,2132.0,,
20000,123,0.0,3.0,0.7,400,0.08,7,11,4,0.36363636363636365,4,4,0,0.0,128,5640,2343.25,1802.5,0.08704793752368717,0.017499534659557735,30,128.0,3588.5,2068.0,,
20000,2024,0.0,3.0,0.7,400,0.08,7,11,4,0.36363636363636365,4,4,0,0.0,84,5198,2138.25,1635.5,0.08671040673366906,0.016531337529589425,31,84.0,3168.0,2133.0,,
20000,99,0.0,3.0,0.7,400,0.08,7,11,4,0.36363636363636365,4,4,0,0.0,95,4994,2080.5,1616.5,0.08638960533277187,0.01792504617386086,32,95.0,3041.0,2145.0,,
20000,42,0.0,3.0,1.0,400,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,937,937,937.0,937.0,0.08029220519048026,0.013829513910990826,7,937.0,,,,
20000,7,0.0,3.0,1.0,400,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,813,813,813.0,813.0,0.08066974137871387,0.016530773119574623,12,813.0,,,,
20000,123,0.0,3.0,1.0,400,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,1301,1301,1301.0,1301.0,0.08028185222539275,0.010727562979389595,7,1301.0,,,,
20000,2024,0.0,3.0,1.0,400,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,992,992,992.0,992.0,0.08032459312159296,0.014084708767931331,10,992.0,,,,
20000,99,0.0,3.0,1.0,400,0.08,7,11,1,0.09090909090909091,1,1,0,0.0,1464,1464,1464.0,1464.0,0.08032610162818926,0.010073162628803225,7,1464.0,,,,
20000,42,0.0,6.0,0.7,400,0.08,7,11,6,0.5454545454545454,7,6,1,0.14285714285714285,62,11529,3898.1666666666665,3161.5,0.08761592413867311,0.022512920544860066,63,2133.0,2737.5,2119.0,11529.0,
